,sub_cat
Военная операция на Украине,1934
Политика,1677
Общество,961
Бизнес,518
Война санкций,474
Пандемия коронавируса,300
Экономика,252
Технологии и медиа,245
Финансы,233
Город,168
Высылки дипломатов,46
Конфликт в Донбассе,27
Протесты в Казахстане,18
Протесты в Белоруссии,17
Конфликт Армении и Азербайджана,14
Рост цен на газ,14
Выборы президента Франции,12
Дело Навального,12
Доходы власти,11
Дискуссионный клуб,8
Дело Порошенко и Медведчука,8
Отставки губернаторов,5
Протесты в Армении,4
Конфликт в Афганистане,4
Дело Абызова,4
ПМЭФ-2022,3
День выборов,3
Конфликт в Нагорном Карабахе,3
Уголовное дело «Рольфа»,2
Дело губернатора Фургала,2
Дело братьев Магомедовых,2
Дело Ивана Сафронова,2
Дело Улюкаева,2
Стрельба в университете в Перми,1
Пожар в Кемерово,1
Авиакатастрофа в Шереметьево,1
Авто,1
Выборы на Украине,1
Беженцы между Белоруссией и ЕС,1
Нападения исламистов в Европе,1
Авария с топливом в Норильске,1
Послания Путина Федеральному собранию,1
Дело Шестуна,1
Деньги,1
Авария на шахте в Кузбассе,1
Дело о пытках в колонии Ярославля,1
Национальные проекты,1
Дело ректоров РАНХиГС и Шанинки,1
